locationName,stationId,location_Id,time_Id
"WUQI,梧棲","467770",162,5
"ALISHAN,阿里山","467530",163,5
"SUN MOON LAKE,日月潭","467650",164,5
"XINWU,新屋","467050",165,5
"MATSU,馬祖","467990",166,5
"DONGJIDAO,東吉島","467300",167,5
"HENGCHUN,恆春","467590",168,5
"KEELUNG,基隆","466940",169,5
"LANYU,蘭嶼","467620",170,5
"TAICHUNG,臺中","467490",171,5
"BANQIAO,板橋","466880",172,5
"HSINCHU,新竹","467571",173,6
"TAIPEI,臺北","466920",174,6
"DAWU,大武","467540",175,6
"TAMSUI,淡水","466900",176,6
"PENGHU,澎湖","467350",177,6
"SU-AO,蘇澳","467060",178,6
"KINMEN,金門","467110",179,6
"KAOHSIUNG,高雄","467440",180,6
"TAITUNG,臺東","467660",181,6
"CHIAYI,嘉義","467480",182,6
"YILAN,宜蘭","467080",183,6
"PENGJIAYU,彭佳嶼","466950",184,6
"HUALIEN,花蓮","466990",185,6
"ANBU,鞍部","466910",186,6
"TAINAN,臺南","467410",187,6
"ZHUZIHU,竹子湖","466930",188,6
"YUSHAN,玉山","467550",189,6
"CHENGGONG,成功","467610",190,6
"WUQI,梧棲","467770",191,6
"ALISHAN,阿里山","467530",192,6
"SUN MOON LAKE,日月潭","467650",193,6
"XINWU,新屋","467050",194,6
"MATSU,馬祖","467990",195,6
"DONGJIDAO,東吉島","467300",196,6
"HENGCHUN,恆春","467590",197,6
"KEELUNG,基隆","466940",198,6
"LANYU,蘭嶼","467620",199,6
"TAICHUNG,臺中","467490",200,6
"BANQIAO,板橋","466880",201,6
"HSINCHU,新竹","467571",202,7
"TAIPEI,臺北","466920",203,7
"DAWU,大武","467540",204,7
"TAMSUI,淡水","466900",205,7
"PENGHU,澎湖","467350",206,7
"SU-AO,蘇澳","467060",207,7
"KINMEN,金門","467110",208,7
"KAOHSIUNG,高雄","467440",209,7
"TAITUNG,臺東","467660",210,7
"CHIAYI,嘉義","467480",211,7
"YILAN,宜蘭","467080",212,7
"PENGJIAYU,彭佳嶼","466950",213,7
"HUALIEN,花蓮","466990",214,7
"ANBU,鞍部","466910",215,7
"TAINAN,臺南","467410",216,7
"ZHUZIHU,竹子湖","466930",217,7
"YUSHAN,玉山","467550",218,7
"CHENGGONG,成功","467610",219,7
"WUQI,梧棲","467770",220,7
"ALISHAN,阿里山","467530",221,7
"SUN MOON LAKE,日月潭","467650",222,7
"XINWU,新屋","467050",223,7
"MATSU,馬祖","467990",224,7
"DONGJIDAO,東吉島","467300",225,7
"HENGCHUN,恆春","467590",226,7
"KEELUNG,基隆","466940",227,7
"LANYU,蘭嶼","467620",228,7
"TAICHUNG,臺中","467490",229,7
"BANQIAO,板橋","466880",230,7
"HSINCHU,新竹","467571",231,8
"TAIPEI,臺北","466920",232,8
"DAWU,大武","467540",233,8
"TAMSUI,淡水","466900",234,8
"PENGHU,澎湖","467350",235,8
"SU-AO,蘇澳","467060",236,8
"KINMEN,金門","467110",237,8
"KAOHSIUNG,高雄","467440",238,8
"TAITUNG,臺東","467660",239,8
"CHIAYI,嘉義","467480",240,8
"YILAN,宜蘭","467080",241,8
"PENGJIAYU,彭佳嶼","466950",242,8
"HUALIEN,花蓮","466990",243,8
"ANBU,鞍部","466910",244,8
"TAINAN,臺南","467410",245,8
"ZHUZIHU,竹子湖","466930",246,8
"YUSHAN,玉山","467550",247,8
"CHENGGONG,成功","467610",248,8
"WUQI,梧棲","467770",249,8
"ALISHAN,阿里山","467530",250,8
"SUN MOON LAKE,日月潭","467650",251,8
"XINWU,新屋","467050",252,8
"MATSU,馬祖","467990",253,8
"DONGJIDAO,東吉島","467300",254,8
"HENGCHUN,恆春","467590",255,8
"KEELUNG,基隆","466940",256,8
"LANYU,蘭嶼","467620",257,8
"TAICHUNG,臺中","467490",258,8
"BANQIAO,板橋","466880",259,8
"HSINCHU,新竹","467571",260,9
