value,weatherElement_Id
"15.3",0
"22.6",1
"19",2
"9.0",3
"4",4
"140.6",5
"7.0",6
"30.0",7
"7",8
"18.1",9
"20.0",10
"7",11
"87",12
"58",13
"17",14
"1016.0",15
"15",16
"44.1",17
"15.9",18
"25.7",19
"18",20
"9.3",21
"4",22
"157.4",23
"7.9",24
"90.0",25
"12",26
"15.5",27
"80.0",28
"12",29
"86",30
"53",31
"18",32
"1019.3",33
"16",34
"23.0",35
"20.2",36
"28.0",37
"15",38
"15.3",39
"3",40
"11.4",41
"8.1",42
"30.0",43
"15",44
"14.3",45
"30.0",46
"4",47
"74",48
"53",49
"3",50
"1016.9",51
"9",52
"111.0",53
"14.9",54
"23.6",55
"18",56
"8.2",57
"4",58
"185.1",59
"6.6",60
"20.0",61
"3",62
"14.1",63
"20.0",64
"16",65
"90",66
"59",67
"17",68
"1017.9",69
"18",70
"27.0",71
"15.1",72
"21.5",73
"19",74
"11.3",75
"23",76
"10.5",77
"10.7",78
"20.0",79
"4",80
"21.9",81
"20.0",82
"22",83
"82",84
"63",85
"2",86
"1017.9",87
"9",88
"24.2",89
"16.0",90
"23.6",91
"16",92
"9.7",93
"4",94
"351.2",95
"8.3",96
"10.0",97
"25",98
"18.8",99
"30.0",100
"25",101
"84",102
"52",103
"18",104
"1017.0",105
"26",106
"37.3",107
"12.1",108
"21.0",109
"8",110
"5.7",111
"5",112
"60.6",113
"7.2",114
"70.0",115
"1",116
"17.4",117
"60.0",118
"11",119
"82",120
"52",121
"1",122
"1018.2",123
"12",124
"70.6",125
"19.3",126
"28.3",127
"19",128
"13.3",129
"5",130
"T",131
"6.7",132
"350.0",133
"16",134
"13.3",135
"350.0",136
"16",137
"75",138
"49",139
"28",140
"1017.1",141
"0",142
"177.1",143
"19.4",144
"26.9",145
"15",146
"13.4",147
"26",148
"22.3",149
"6.6",150
"50.0",151
"9",152
"15.1",153
"60.0",154
"16",155
"75",156
"49",157
"27",158
"1016.8",159
"9",160
"87.2",161
"16.6",162
"26.6",163
"15",164
"10.6",165
"5",166
"23.0",167
"6.5",168
"40.0",169
"16",170
"10.2",171
"350.0",172
"16",173
"80",174
"53",175
"11",176
"1014.8",177
"10",178
"96.5",179
"16.1",180
"24.7",181
"16",182
"10.0",183
"4",184
"175.1",185
"11.3",186
"320.0",187
"16",188
"20.0",189
"320.0",190
"16",191
"83",192
"52",193
"16",194
"1018.9",195
"20",196
"38.4",197
"15.3",198
"22.7",199
"14",200
"9.0",201
"5",202
"166.6",203
"17.4",204
"10.0",205
"16",206
"24.3",207
"10.0",208
"16",209
"80",210
"52",211
"2",212
"1008.2",213
"20",214
"24.5",215
"17.8",216
"24.8",217
"8",218
"12.7",219
"5",220
"53.0",221
"10.2",222
"40.0",223
"25",224
"18.4",225
"40.0",226
"25",227
"77",228
"54",229
"18",230
"1016.7",231
"15",232
"48.3",233
"9.9",234
"19.1",235
"14",236
"2.3",237
"4",238
"455.0",239
"12.5",240
"350.0",241
"16",242
"19.5",243
"350.0",244
"16",245
"96",246
"66",247
"18",248
"924.6",249
"26",250
"25.5",251
"17.2",252
"27.2",253
"15",254
"11.2",255
"5",256
"5.5",257
"9.2",258
"20.0",259
"16",260
"16.1",261
"10.0",262
"16",263
"79",264
"55",265
"19",266
"1015.4",267
"5",268
"144.9",269
"11.6",270
"21.1",271
"18",272
"4.2",273
"4",274
"372.0",275
"8.6",276
"20.0",277
"3",278
"17.1",279
"20.0",280
"3",281
"94",282
"70",283
"18",284
"949.2",285
"26",286
"37.4",287
"-1.5",288
"11.3",289
"10",290
"-7.7",291
"27",292
"63.1",293
"17.0",294
"270.0",295
"2",296
"29.0",297
"280.0",298
"18",299
"76",300
"14",301
"17",302
"640.1",303
"8",304
"137.5",305
"18.8",306
"25.8",307
"28",308
"13.4",309
"26",310
"60.3",311
"10.5",312
"30.0",313
"9",314
"17.9",315
"30.0",316
"9",317
"78",318
"59",319
"27",320
"1013.7",321
"13",322
"52.8",323
"15.5",324
"23.0",325
"19",326
"10.2",327
"5",328
"62.6",329
"14.7",330
"360.0",331
"1",332
"26.6",333
"60.0",334
"4",335
"83",336
"59",337
"2",338
"1015.6",339
"10",340
"101.7",341
"6.5",342
"15.5",343
"15",344
"0.6",345
"19",346
"114.4",347
"4.8",348
"280.0",349
"16",350
"12.7",351
"280.0",352
"16",353
"83",354
"17",355
"28",356
"764.7",357
"14",358
"111.9",359
"14.1",360
"22.5",361
"28",362
"7.9",363
"3",364
"77.5",365
"7.3",366
"160.0",367
"16",368
"11.6",369
"160.0",370
"16",371
"82",372
"33",373
"17",374
"904.2",375
"10",376
"127.3",377
"16.6",378
"25.9",379
"18",380
"10.8",381
"4",382
"57.1",383
"5.0",384
"10.0",385
"4",386
"10.9",387
"360.0",388
"1",389
"75",390
"47",391
"18",392
"1008.0",393
"10",394
"142.9",395
"8.9",396
"15.2",397
"18",398
"2.3",399
"5",400
"179.5",401
"7.3",402
"360.0",403
"7",404
"17.1",405
"10.0",406
"22",407
"86",408
"52",409
"4",410
"1012.0",411
"16",412
"29.5",413
"16.1",414
"20.7",415
"19",416
"12.1",417
"23",418
"13.8",419
"19.9",420
"20.0",421
"23",422
"27.5",423
"20.0",424
"23",425
"84",426
"69",427
"2",428
"1013.0",429
"9",430
"38.8",431
"21.0",432
"28.2",433
"28",434
"15.9",435
"27",436
"0.0",437
"11.9",438
"40.0",439
"11",440
"25.3",441
"30.0",442
"4",443
"74",444
"49",445
"16",446
"1014.0",447
"0",448
"185.4",449
"15.5",450
"24.1",451
"18",452
"9.5",453
"4",454
"533.4",455
"11.0",456
"10.0",457
"3",458
"16.9",459
"10.0",460
"23",461
"85",462
"54",463
"2",464
"1017.1",465
"27",466
"14.6",467
"18.1",468
"23.1",469
"21",470
"13.5",471
"4",472
"184.8",473
"23.6",474
"20.0",475
"7",476
"33.2",477
"30.0",478
"7",479
"91",480
"71",481
"3",482
"979.5",483
"24",484
"46.3",485
"15.8",486
"25.9",487
"18",488
"9.1",489
"4",490
"188.3",491
"7.0",492
"80.0",493
"12",494
"12.9",495
"70.0",496
"17",497
"81",498
"44",499
"18",500
"1018.8",501
"15",502
"26.8",503
"15.0",504
"26.2",505
"13",506
"8.8",507
"8",508
"228.9",509
"7.6",510
"20.0",511
"2",512
"17.4",513
"30.0",514
"2",515
"91",516
"51",517
"13",518
"1014.3",519
"17",520
"48.3",521
"16.4",522
"28.4",523
"6",524
"9.5",525
"8",526
"268.8",527
"8.3",528
"90.0",529
"29",530
"15.3",531
"80.0",532
"2",533
"86",534
"51",535
"13",536
"1017.5",537
"15",538
"43.7",539
"21.2",540
"31.2",541
"6",542
"15.6",543
"1",544
"139.0",545
"7.7",546
"30.0",547
"7",548
"15.0",549
"30.0",550
"7",551
"76",552
"50",553
"6",554
"1015.3",555
"16",556
"71.0",557
"14.8",558
"25.7",559
"12",560
"8.4",561
"8",562
"197.8",563
"7.1",564
"150.0",565
"20",566
"17.1",567
"150.0",568
"20",569
"88",570
"63",571
"20",572
"1016.1",573
"19",574
"48.5",575
"14.9",576
"25.9",577
"23",578
"10.3",579
"8",580
"28.4",581
"11.6",582
"30.0",583
"7",584
"22.9",585
"30.0",586
"17",587
"84",588
"62",589
"18",590
"1016.2",591
"10",592
"34.4",593
"16.7",594
"26.9",595
"14",596
"10.1",597
"9",598
"488.9",599
"9.0",600
"10.0",601
"7",602
"20.0",603
"190.0",604
"7",605
"86",606
"58",607
"10",608
"1015.3",609
"26",610
"37.0",611
"11.9",612
"22.6",613
"21",614
"6.2",615
"2",616
"81.5",617
"9.5",618
"70.0",619
"7",620
"20.3",621
"60.0",622
"7",623
"83",624
"45",625
"19",626
"1016.2",627
"13",628
"44.7",629
"20.1",630
"29.7",631
"15",632
"12.7",633
"9",634
"30.5",635
"7.5",636
"350.0",637
"28",638
"15.3",639
"340.0",640
"28",641
"76",642
"45",643
"13",644
"1015.5",645
"7",646
"165.0",647
"20.3",648
"28.3",649
"6",650
"13.6",651
"9",652
"82.7",653
"8.3",654
"40.0",655
"7",656
"16.3",657
"200.0",658
"6",659
"74",660
"48",661
"5",662
"1015.5",663
"13",664
"64.8",665
"16.6",666
"29.9",667
"6",668
"9.9",669
"9",670
"77.9",671
"7.3",672
"10.0",673
"13",674
"12.8",675
"360.0",676
"13",677
"80",678
"48",679
"6",680
"1013.1",681
"10",682
"84.0",683
"16.9",684
"27.3",685
"14",686
"10.0",687
"9",688
"199.0",689
"7.3",690
"20.0",691
"7",692
"12.7",693
"150.0",694
"12",695
"83",696
"64",697
"10",698
"1017.1",699
"20",700
"61.5",701
"15.7",702
"24.1",703
"14",704
"8.5",705
"8",706
"243.7",707
"18.8",708
"160.0",709
"12",710
"26.2",711
"10.0",712
"7",713
"83",714
"63",715
"9",716
"1006.5",717
"21",718
"23.4",719
"18.7",720
"27.1",721
"13",722
"12.4",723
"9",724
"98.5",725
"10.7",726
"40.0",727
"7",728
"18.1",729
"30.0",730
"7",731
"78",732
"57",733
"10",734
"1015.1",735
"14",736
"42.7",737
"11.0",738
"22.9",739
"22",740
"3.2",741
"8",742
"424.0",743
"10.1",744
"150.0",745
"20",746
"22.6",747
"190.0",748
"20",749
"94",750
"60",751
"13",752
"923.2",753
"24",754
"39.5",755
"17.6",756
"28.9",757
"14",758
"10.7",759
"9",760
"40.0",761
"9.3",762
"190.0",763
"6",764
"17.0",765
"20.0",766
"28",767
"80",768
"50",769
"13",770
"1013.8",771
"7",772
"125.0",773
"12.6",774
"24.6",775
"22",776
"4.9",777
"8",778
"330.5",779
"9.2",780
"20.0",781
"24",782
"19.4",783
"10.0",784
"25",785
"94",786
"57",787
"13",788
"947.7",789
"22",790
"52.3",791
"0.0",792
"13.6",793
"14",794
"-6.5",795
"2",796
"146.0",797
"16.3",798
"310.0",799
"28",800
"31.1",801
"290.0",802
"28",803
"85",804
"20",805
"14",806
"640.4",807
"13",808
"123.8",809
"19.9",810
"28.2",811
"15",812
"14.1",813
"8",814
"82.6",815
"11.4",816
"20.0",817
"7",818
"19.9",819
"60.0",820
"7",821
"79",822
"59",823
"3",824
"1012.1",825
"18",826
"54.0",827
"14.4",828
"27.3",829
"23",830
"9.1",831
"8",832
"95.6",833
"17.1",834
"360.0",835
"2",836
"28.3",837
"10.0",838
"2",839
"86",840
"59",841
"13",842
"1014.0",843
"9",844
"48.5",845
"8.0",846
"16.7",847
"13",848
"2.1",849
"4",850
"158.6",851
"5.4",852
"290.0",853
"24",854
"13.2",855
"280.0",856
"24",857
"89",858
"20",859
"13",860
"764.1",861
"13",862
"85.5",863
"15.5",864
"25.4",865
"22",866
"9.1",867
"18",868
"87.5",869
"6.1",870
"280.0",871
"28",872
"11.4",873
"290.0",874
"25",875
"81",876
"45",877
"18",878
"903.1",879
"11",880
"105.0",881
"16.7",882
"28.6",883
"23",884
"10.1",885
"9",886
"77.2",887
"5.7",888
"10.0",889
"2",890
"12.6",891
"340.0",892
"28",893
"75",894
"44",895
"13",896
"1006.4",897
"10",898
"104.1",899
"8.4",900
"17.9",901
"13",902
"3.3",903
"3",904
"153.6",905
"9.3",906
"50.0",907
"7",908
"18.1",909
"60.0",910
"7",911
"87",912
"55",913
"19",914
"1010.0",915
"19",916
"14.4",917
"16.6",918
"26.8",919
"23",920
"11.6",921
"8",922
"35.6",923
"20.4",924
"20.0",925
"18",926
"27.5",927
"20.0",928
"18",929
"85",930
"66",931
"13",932
"1011.2",933
"9",934
"36.3",935
"21.9",936
"29.3",937
"24",938
"16.0",939
"8",940
"76.8",941
"10.9",942
"40.0",943
"2",944
"24.2",945
"40.0",946
"8",947
"78",948
"56",949
"4",950
"1012.5",951
"11",952
"126.7",953
"15.7",954
"26.6",955
"21",956
"9.8",957
"8",958
"545.7",959
"11.7",960
"10.0",961
"7",962
"18.4",963
"10.0",964
"7",965
"87",966
"57",967
"21",968
"1015.4",969
"24",970
"34.9",971
"19.2",972
"26.4",973
"23",974
"14.2",975
"9",976
"303.9",977
"24.7",978
"20.0",979
"2",980
"31.6",981
"30.0",982
"2",983
"91",984
"71",985
"12",986
"978.4",987
"25",988
"50.9",989
"16.2",990
"28.5",991
"6",992
"9.4",993
"8",994
"323.5",995
"6.3",996
"60.0",997
"2",998
"13.9",999
"90.0",1000
"2",1001
"80",1002
"42",1003
"22",1004
"1016.9",1005
"18",1006
"61.3",1007
"17.4",1008
"28.7",1009
"17",1010
"9.4",1011
"10",1012
"96.6",1013
"5.7",1014
"20.0",1015
"24",1016
"14.5",1017
"360.0",1018
"24",1019
"81",1020
"40",1021
"26",1022
"1013.2",1023
"14",1024
"121.8",1025
"18.8",1026
"30.7",1027
"23",1028
"10.7",1029
"24",1030
"85.4",1031
"9.7",1032
"80.0",1033
"21",1034
"16.6",1035
"70.0",1036
"31",1037
"78",1038
"34",1039
"30",1040
"1016.3",1041
"13",1042
"109.0",1043
"23.2",1044
"31.9",1045
"18",1046
"16.3",1047
"24",1048
"46.0",1049
"9.4",1050
"30.0",1051
"23",1052
"16.8",1053
"40.0",1054
"20",1055
"74",1056
"44",1057
"28",1058
"1014.8",1059
"17",1060
"135.1",1061
"17.1",1062
"28.8",1063
"23",1064
"8.7",1065
"24",1066
"84.1",1067
"8.0",1068
"20.0",1069
"31",1070
"17.4",1071
"130.0",1072
"28",1073
"81",1074
"37",1075
"28",1076
"1014.9",1077
"13",1078
"104.3",1079
"19.2",1080
"29.4",1081
"17",1082
"12.8",1083
"12",1084
"7.3",1085
"11.2",1086
"20.0",1087
"31",1088
"20.8",1089
"20.0",1090
"24",1091
"79",1092
"41",1093
"24",1094
"1014.8",1095
"5",1096
"119.5",1097
"19.4",1098
"29.3",1099
"23",1100
"11.6",1101
"24",1102
"267.1",1103
"9.2",1104
"30.0",1105
"24",1106
"26.4",1107
"30.0",1108
"24",1109
"79",1110
"45",1111
"26",1112
"1014.3",1113
"22",1114
"92.0",1115
"15.1",1116
"26.2",1117
"23",1118
"7.5",1119
"11",1120
"22.1",1121
"9.4",1122
"70.0",1123
"31",1124
"20.9",1125
"60.0",1126
"31",1127
"80",1128
"25",1129
"26",1130
"1014.5",1131
"13",1132
"107.1",1133
"23.6",1134
"32.3",1135
"23",1136
"15.4",1137
"11",1138
"8.5",1139
"6.5",1140
"150.0",1141
"5",1142
"11.8",1143
"350.0",1144
"24",1145
"71",1146
"37",1147
"27",1148
"1014.6",1149
"2",1150
"216.3",1151
"22.5",1152
"30.1",1153
"7",1154
"14.9",1155
"12",1156
"37.9",1157
"7.4",1158
"40.0",1159
"23",1160
"16.7",1161
"30.0",1162
"31",1163
"73",1164
"45",1165
"26",1166
"1015.0",1167
"14",1168
"103.2",1169
"19.9",1170
"32.8",1171
"5",1172
"12.2",1173
"24",1174
"14.7",1175
"8.8",1176
"360.0",1177
"24",1178
"13.8",1179
"360.0",1180
"24",1181
"82",1182
"39",1183
"27",1184
"1012.1",1185
"4",1186
"162.0",1187
"19.5",1188
"29.3",1189
"4",1190
"10.7",1191
"24",1192
"106.7",1193
"9.2",1194
"50.0",1195
"23",1196
"14.4",1197
"110.0",1198
"28",1199
"76",1200
"49",1201
"26",1202
"1016.0",1203
"19",1204
"110.1",1205
"17.9",1206
"26.0",1207
"17",1208
"10.1",1209
"24",1210
"81.8",1211
"17.6",1212
"360.0",1213
"31",1214
"25.7",1215
"10.0",1216
"31",1217
"79",1218
"38",1219
"26",1220
"1005.5",1221
"17",1222
"101.3",1223
"20.8",1224
"28.9",1225
"18",1226
"13.2",1227
"25",1228
"95.5",1229
"11.9",1230
"40.0",1231
"23",1232
"19.6",1233
"20.0",1234
"23",1235
"76",1236
"44",1237
"26",1238
"1014.3",1239
"19",1240
"105.3",1241
"13.7",1242
"24.9",1243
"23",1244
"2.9",1245
"24",1246
"155.0",1247
"11.2",1248
"350.0",1249
"31",1250
"23.1",1251
"360.0",1252
"31",1253
"88",1254
"47",1255
"28",1256
"923.0",1257
"17",1258
"100.6",1259
"21.4",1260
"32.2",1261
"23",1262
"12.9",1263
"12",1264
"6.5",1265
"11.6",1266
"10.0",1267
"24",1268
"20.4",1269
"360.0",1270
"24",1271
"73",1272
"45",1273
"30",1274
"1012.8",1275
"2",1276
"201.6",1277
"15.3",1278
"26.7",1279
"17",1280
"4.8",1281
"24",1282
"96.0",1283
"9.8",1284
"20.0",1285
"31",1286
"19.3",1287
"10.0",1288
"31",1289
"87",1290
"42",1291
"30",1292
"947.2",1293
"12",1294
"112.0",1295
"2.2",1296
"15.6",1297
"17",1298
"-4.9",1299
"25",1300
"29.0",1301
"19.9",1302
"230.0",1303
"5",1304
"27.5",1305
"240.0",1306
"5",1307
"74",1308
"17",1309
"5",1310
"642.2",1311
"4",1312
"199.8",1313
"21.8",1314
"28.3",1315
"7",1316
"14.9",1317
"24",1318
"130.4",1319
"10.1",1320
"30.0",1321
"31",1322
"19.1",1323
"30.0",1324
"23",1325
"79",1326
"43",1327
"25",1328
"1011.6",1329
"19",1330
"75.0",1331
"17.8",1332
"29.4",1333
"23",1334
"10.3",1335
"10",1336
"22.2",1337
"13.4",1338
"360.0",1339
"31",1340
"24.2",1341
"30.0",1342
"24",1343
"80",1344
"45",1345
"30",1346
"1012.9",1347
"8",1348
"137.0",1349
"10.2",1350
"19.8",1351
"18",1352
